Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,2917,15, ,A1,1848 WASHINGTON AVENUE                   ,            ,10457,1,0,1,2943,2128,1920,1,A1,130000,2003-05-27 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3028,25, ,A5,412 EAST 179 STREET                      ,            ,10457,1,0,1,1842,2048,1901,1,A1,204000,2003-04-07 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3030,55, ,A5,410 EAST 182 STREET                      ,            ,10457,1,0,1,1330,1460,1899,1,A1,235000,2003-07-24 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,2, ,S1,441 EAST 178 STREET                      ,            ,10457,1,1,2,1287,2378,1899,1,S1,125500,2003-05-02 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3035,52, ,A1,461 EAST 178 STREET                      ,            ,10457,1,0,1,1782,1548,1899,1,A1,215000,2003-05-14 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3045,15, ,A1,2058 BATHGATE AVENUE                     ,            ,10457,1,0,1,1173,1516,1910,1,A1,0,2003-07-09 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3048,19, ,A5,2186 BATHGATE AVENUE                     ,            ,10457,1,0,1,1768,1188,1901,1,A1,245000,2003-04-15 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3050,91, ,A9,503 EAST 182 STREET                      ,            ,10457,1,0,1,1960,1705,1901,1,A9,500,2003-06-02 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,87, ,S0,2368 WASHINGTON AVENUE                   ,            ,10458,1,2,3,1911,4080,1931,1,S0,375000,2003-04-08 00:00:00
2,BATHGATE                 ,01  ONE FAMILY HOMES                        ,1,3053,108, ,A9,2317 BASSFORD AVENUE                     ,            ,10458,1,0,1,925,1188,1901,1,A9,0,2003-09-10 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2908,35, ,B2,1833 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2800,1360,1931,1,B2,300000,2003-12-12 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,113, ,B1,1530 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2033,2400,1993,1,B1,0,2003-05-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,114, ,B1,1532 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1,0,2003-03-05 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457,2,0,2,2000,2400,1993,1,B1,238000,2003-07-17 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2912,144, ,B1,3813 3 AVENUE                            ,            ,10457,2,0,2,2000,2400,1993,1,B1,191400,2003-07-23 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2927,129, ,B1,1469 CROTONA PLACE                       ,            ,10456,2,0,2,1900,2394,1994,1,B1,0,2003-11-14 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2927,130, ,B1,1467 CROTONA PLACE                       ,            ,10456,2,0,2,1900,2394,1994,1,B1,161065,2003-07-30 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,2929,135, ,B1,545 CLAREMONT PARKWAY                    ,            ,10457,2,0,2,2332,2394,1995,1,B1,280000,2003-02-25 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,33, ,B2,412 EAST 180 STREET                      ,            ,10457,2,0,2,2046,2112,1899,1,B2,290000,2003-04-02 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,33, ,B2,412 EAST 180 STREET                      ,            ,10457,2,0,2,2046,2112,1899,1,B2,150000,2003-01-21 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,66, ,B2,417 EAST 179 STREET                      ,            ,10457,2,0,2,2945,1398,1910,1,B2,300000,2003-05-27 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3029,66, ,B2,417 EAST 179 STREET                      ,            ,10457,2,0,2,2945,1398,1910,1,B2,220000,2003-03-24 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,61, ,B3,4467 PARK AVENUE                         ,            ,10457,2,0,2,1556,1494,1899,1,B3,247000,2003-06-30 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,61, ,B3,4467 PARK AVENUE                         ,            ,10457,2,0,2,1556,1494,1899,1,B3,175000,2003-03-20 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,77, ,B2,4433 PARK AVENUE                         ,            ,10457,2,0,2,2925,2205,1899,1,B2,0,2003-04-26 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3030,151, ,S2,2264 WEBSTER AVENUE                      ,            ,10457,2,1,3,1620,3240,1931,1,S2,335000,2003-09-04 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,129, ,B1,460 EAST 179 STREET                      ,            ,10457,2,0,2,1790,2340,1998,1,B1,328500,2003-06-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3035,129, ,B1,460 EAST 179 STREET                      ,            ,10457,2,0,2,1790,2340,1998,1,B1,243000,2003-01-27 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,65, ,B1,455 EAST 179 STREET                      ,            ,10457,2,0,2,2033,2340,1998,1,B1,0,2003-07-25 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3036,140, ,B1,2063 WASHINGTON AVENUE                   ,            ,10457,2,0,2,3346,3462,1997,1,B1,0,2003-07-17 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,6, ,B2,4392 PARK AVENUE                         ,            ,10457,2,0,2,2275,3240,1899,1,B2,290000,2003-01-16 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,47, ,B2,4440 PARK AVENUE                         ,            ,10457,2,0,2,2550,1662,1899,1,B2,278100,2003-10-03 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3037,69, ,S2,2195 WASHINGTON AVENUE                   ,            ,10457,2,1,3,1700,3900,1925,1,S2,0,2003-11-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,  ,3038,33, ,  ,2269 WASHINGTON AVENUE                   ,            ,10457,0,0,0,0,0,0,1,B2,50000,2003-10-22 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,13, ,C0,456 EAST 185 STREET                      ,            ,10458,3,0,3,1650,2016,1910,1,B2,317000,2003-08-29 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,13, ,C0,456 EAST 185 STREET                      ,            ,10458,3,0,3,1650,2016,1910,1,B2,169705,2003-06-04 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,46, ,B1,448 EAST 186 STREET                      ,            ,10458,2,0,2,2000,2060,1901,1,B1,245000,2003-12-15 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,46, ,B1,448 EAST 186 STREET                      ,            ,10458,2,0,2,2000,2060,1901,1,B1,195000,2003-12-15 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,71, ,B1,451 EAST 185 STREET                      ,            ,10458,2,0,2,2000,2400,1997,1,B1,0,2003-02-27 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3039,156, ,B1,470 EAST 186 STREET                      ,            ,10458,2,0,2,2000,2400,1997,1,B1,0,2003-02-13 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3040,5, ,S2,4656 PARK AVENUE                         ,            ,10458,2,1,3,5000,5881,1910,1,S2,0,2003-08-18 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3040,15, ,B2,462 EAST 187 STREET                      ,            ,10458,2,0,2,1642,1820,1910,1,B2,0,2003-07-01 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3041,10, ,B2,450 CYRUS PLACE                          ,            ,10458,2,0,2,2500,1960,1910,1,B2,294500,2003-11-18 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3044,167, ,B1,2008 BATHGATE AVENUE                     ,            ,10457,2,0,2,2520,2340,1998,1,B1,300000,2003-10-30 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3046,11, ,B9,2042 WASHINGTON AVENUE                   ,            ,10457,2,0,2,1497,1566,1899,1,B9,0,2003-06-25 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3048,23, ,B3,2194 BATHGATE AVENUE                     ,            ,10457,2,0,2,1712,1580,1901,1,B3,285000,2003-05-02 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,2, ,B2,2188 WASHINGTON AVENUE                   ,            ,10457,2,0,2,1345,2346,1901,1,B2,320000,2003-07-24 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,40, ,B2,493 FLETCHER PLACE                       ,            ,10457,2,0,2,1637,1972,1901,1,B2,290000,2003-12-05 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,82, ,B2,2253 BATHGATE AVENUE                     ,            ,10457,2,0,2,3888,2691,1901,1,B2,345000,2003-12-18 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,82, ,B2,2253 BATHGATE AVENUE                     ,            ,10457,2,0,2,3888,2691,1901,1,B2,122000,2003-08-04 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2,2240 BASSFORD AVENUE                     ,            ,10457,2,0,2,1300,2300,1901,1,B2,356500,2003-12-19 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2,2240 BASSFORD AVENUE                     ,            ,10457,2,0,2,1300,2300,1901,1,B2,325000,2003-06-27 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,94, ,B2,2240 BASSFORD AVENUE                     ,            ,10457,2,0,2,1300,2300,1901,1,B2,0,2003-06-27 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3050,96, ,B2,2244 BASSFORD AVENUE                     ,            ,10457,2,0,2,1450,3549,1901,1,B2,295000,2003-01-31 00:00:00
2,BATHGATE                 ,02  TWO FAMILY HOMES                        ,1,3052,23, ,S2,545 EAST 183 STREET                      ,            ,10458,2,1,3,2000,4200,1931,1,S2,325000,2003-10-16 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3030,168, ,C0,4509 PARK AVENUE                         ,            ,10457,3,0,3,3924,3900,1901,1,C0,315000,2003-06-27 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3037,66, ,C0,456 EAST 182 STREET                      ,            ,10457,3,0,3,2000,3744,1899,1,C0,235013,2003-08-01 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3039,15, ,C0,462 EAST 185 STREET                      ,            ,10458,3,0,3,4600,2652,1931,1,C0,300000,2003-01-29 00:00:00
2,BATHGATE                 ,03  THREE FAMILY HOMES                      ,1,3041,8, ,C0,446 CYRUS PLACE                          ,            ,10458,3,0,3,2320,2008,1910,1,C0,100,2003-11-15 00:00:00
