Borough,Neighborhood,Building Class Category,Tax Class As Of Final Roll 18/1,Block,Lot,Ease-Ment,Building Class As Of Final Roll 18/1,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,8, ,A5,4730 AMBOY ROAD                          ,            ,10312,1,0,1,3149,1110,2002,1,A5,353886,2003-01-13 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,12, ,A5,4718 AMBOY ROAD                          ,            ,10312,1,0,1,1746,1110,2002,1,A5,310000,2003-07-25 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,13, ,A5,4716 AMBOY ROAD                          ,            ,10312,1,0,1,1871,1110,2002,1,A5,299130,2003-09-05 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5391,15, ,A5,4714 AMBOY ROAD                          ,            ,10312,1,0,1,4678,1110,2002,1,A5,304099,2003-09-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5395,15, ,A1,10 EDWIN STREET                          ,            ,10312,1,0,1,7000,2200,1980,1,A1,0,2003-09-17 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5400,20, ,A1,5 JANSEN STREET                          ,            ,10312,1,0,1,10000,3344,1980,1,A1,795000,2003-05-13 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5403,33, ,A1,91 NOEL STREET                           ,            ,10312,1,0,1,7500,6500,2002,1,A1,0,2003-01-06 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5404,18, ,A2,1610 LENZIE STREET                       ,            ,10312,1,0,1,7500,2128,1970,1,A2,625000,2003-02-07 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5406,35, ,A1,103 ELMBANK STREET                       ,            ,10312,1,0,1,2500,1700,1999,1,A1,0,2003-09-19 00:00:00
5,ANNADALE                 ,01  ONE FAMILY HOMES                        ,1,5407,36, ,A1,183 BATHGATE STREET                      ,            ,10312,1,0,1,3700,4400,2004,1,A1,352000,2003-01-22 00:00:00
